	H1C	H2C	H3C	C1C	C2C	C3C	gor1C	Pon1C	SiaC1	SiaC2	rhesus1C	rhesus2C	rhesus3C	Bab1C	Bab2C	Bab3C	Mar1C	Mar2C	Mar3C	sqmnky1C	saki1C	ateles1C	ateles2C	Nem1C	patas1C	patas2C	patas3C	lemur1C	lemur2C	eulemur1C	sleloris1C	slowloris1C	slowloris2C	pygslowloris1C
NG_008388.1	3333.31	934.08	3107.49	7855.84	1379.81	991.52	4077	1709	4	0	2	3	1	8	0	0	3287	2503	1820	5918.76	7938	1003	668	2592	1711	2643	767	7	1	18	1137.86	5543	11750	684
NG_008391.2	7429	2771	3878	12518	10840.3	15962.2	7418	6014.49	4813	7741	11498.64	10892	6114	6775	17330	22833	9012.27	13340.53	10591.54	653.85	822	1711	547	13327.94	11418	11029	8607	87	51	59	17	5544	2183	69
NG_008397.1	6824.66	1912.6	4265.39	8918.47	2445.96	1788.83	6811.32	3530.02	3346.33	4416.9	7786	7395	5142	4406.13	7361.99	8319.69	126	715	490	512.67	537	5548.01	3540.01	169.3	4096.66	5500.91	6487.32	18	8	5990	428.86	473	126	6607
NG_008408.1	1829.78	202.88	1505.31	8874	3005	2251	2028	1062.29	2365	3332	11	15	6	17	5	5	4572	4632	3841	33	46	3794.42	1314	1516	27	0.69	34	8	7	27.5	5	469	386	109
NG_008417.1	53.21	7.46	18.03	33.37	10.63	7.91	1547.51	767.21	1921	1859	1733.43	2275.4	1151.69	2332.76	481.17	293.52	1674.24	1038.92	981.5	1254	26	1899	2167	39	1346.89	1917.57	2051.85	43	59	46	3034.75	691	365.78	43
NG_008418.1	169	79	85	155	82	19	2201	2324	4374	5932	1905	1904	1630	1765	543	300	9197.19	8571	8304	13	14	1169	1112	2348	3378	2893	3380	283.7	132.53	795	848	1047	640	1249
NG_008432.1	5837.6	1432.22	6214.42	1828.88	455.51	182.03	3466	5219	284.55	0	3179.93	4098.33	1901.76	3161.26	4810.92	2833.01	12	26	13	25	13	15	14	3752	26	8	24	9	15	0	14.2	2375	613	728
NG_008433.1	14	0	4	0	12	50	0	1	7	0	1	2	2	8	1	0	9	24	14	51	17	0	90	7	4	2	0	11.21	8.02	8	31	63	0	3
NG_008434.1	5	3	1	0	16	51	26	25	35	17	47	46	37	53	31	28	105	99	110	32	20	39	48	16	44	54	50	4	4	139	3	27.8	8	17
NG_008437.1	23	26	5	3944.82	2016.69	3471.2	9	70	1511.96	3430.81	37	20	18	35	23	21	22	19	21	27	29	460	668	372	114	139	328	88.82	45	30	20	494.88	429.98	29
NG_008441.1	2080	500	1193	3052.18	1104.15	724.61	2197	47	106.87	381.92	1728	1809	1194	1809	455	325	59	78	46	16	18	9	16	48	2091	2513	2336	51	22	14	0	496	413	2
NG_008459.1	345.35	101.68	239.59	203	18	7	803.41	250.92	82.85	347.63	831.79	1150.94	727.31	781	246	137	968	725	590.16	590	171	756	236.83	877	848	1302	1825	647	368	658	145.08	530	458	610.01
NG_008461.1	44	9	29	7.42	14.92	23.86	145	1251	10385	10279	9330.18	8130.29	4633.51	16	28	40	7952	8555	6616	483	128	4229.85	4659	7898	11252	10460.98	8669.94	3	3	207	568	32	24.14	8.58
NG_008475.1	26.33	6.99	17.26	4	1	18	486	0	5	3	379	436	235	11	8	7	3532	4778	4050	7	15	0	143	8	8	0	8	0	0	4.26	60.25	11	10	3
