	H1C	H2C	H3C	C1C	C2C	C3C	gor1C	Pon1C	SiaC1	SiaC2	rhesus1C	rhesus2C	rhesus3C	Bab1C	Bab2C	Bab3C	Mar1C	Mar2C	Mar3C	sqmnky1C	saki1C	ateles1C	ateles2C	Nem1C	patas1C	patas2C	patas3C	lemur1C	lemur2C	eulemur1C	sleloris1C	slowloris1C	slowloris2C	pygslowloris1C
NG_008481.4	4281	1103	3100	7981	1664	1968	28	3218	573	458	6748	7367	4558	5723	662	222	12175	11246	15396	7335	6671	1069	1731	4457	25	7	5	3706	2040	19	209	5087	1455	5407
NG_008483.2	124	125	68	44	21	67	292.08	31	236	458	562	463	288	25	5.5	5.5	21	10	15	44	69	4	16	42	315	450	265	1	0	113	1176	119	67	1
NG_008489.1	0	0	2	0	0	18	2	1	6	1	11	8	5	47	5	1	118	104	102	74	394	167.05	68.23	2	449	419	329	1	3	1	8	7	15	40
NG_008493.2	2380	807	763	4384	1045	324	978	467	7990	13074	1641	1326	726	1254	186	62	969	729	589	290	357.5	17566.01	2192	925	12263	18730	28388	220	241	360	56	462	877	126
NG_008604.1	263	194	125	1215	146	44	847	29	632.16	1618.78	1461	1344	958	2175	478.96	121.49	3053	3115	2164.76	701.49	185	3970.9	132.34	991.33	688	1271	1969	35	8	24	220.01	6	0	2277.09
NG_008606.1	1275.82	348.94	1420.59	636	1476	1616	815.95	79	719.89	625.11	845.01	725.01	447.01	1677.97	3607.71	4142.13	46	37	16	119	14	1171	3203	119	186.24	217	279.87	1011.68	882.74	2759	66.5	506	289	1507
NG_008626.2	22	11	11	10	2	9	3	2	6	10	18	4	5	2	0	4	45	54.98	50	23	21	37	94	12	3	10	12	26	6	6	31	351	133	3
NG_008638.1	91	100	33	75	32	44	1158	121	14	47	26	44.57	43	28	1	2	33	23.82	16	21	19	20	0	13	21	41	64	932	750	4	811	936.65	229.59	4
NG_008643.1	3533.63	1097.63	1792.8	2700.41	565	891	4316.17	138.16	794	1212	1554	1713	1156	665	145	65	1217	1356	1593	139	1437	2266	5051	108	695	898	782	15	7	195	7	5897	11716	9
NG_008644.1	89	14	38	1986	766	814	1335	21	1495.15	2996	1888.74	1848.97	1170.66	67	7	2	35	34	32	30	46	8	109	44	38	118	87	0	19	40	2	36.34	108	31
NG_008648.1	901.81	308.39	625.03	1296.69	278	278	408	16	942.01	1751.15	624	680	400	32	9	1	999	754	737	33	14	224.46	204.62	534	1301	1570	1696	12	1	11	21	12	17	10
NG_008649.1	730.43	184.82	553	1085.01	420	341	50	40	1320.5	1461.68	1645.94	1457.9	965.18	833	172	68	444.01	354.28	296.13	561	148	53	5	869.73	487	566	723	498.5	1223.58	1404	225	41	17	3
NG_008659.3	238	44	141	406	169	79	70	78	114	200	136	121	100	709	446	431	373	281	314	367.92	702	453	102	294	246	679	419	445	296	1081	616	1197	386	1205.6
NG_008660.1	28	29	15	2971.26	909.17	270	1352	6	22	32	285	230	129.98	164	90	40.7	297	421	199	2323	8	896	73	299	40	40	30	7	10	1	500	1334.4	117.51	40.97
NG_008675.1	4	0	0	3	0	1	4	483	1392.18	2101	174	229	171	3973	1514	3516	5	8	9	10	1727	264.79	256	4	0	5	2	4	6	6	8	42	77	16
NG_008679.1	1412	515	963	4886.32	2116.11	764.07	72	2924.2	142.83	267.42	6404.66	6142.94	3421.85	5661	2438	1437	6800	4783	4580	3406	5408.79	9512	11186	4376.74	4057.87	4034	6396	37	39	61	16098.84	2231	400	6350.69
NG_008692.2	62	15	29	130.49	28.36	28.18	38	153.35	458	585	833	669	336	414	950	1070	239	439	272	48	260	47	36	126	907.09	725	646.37	17	7	1699	57	561	81	1179
NG_008693.2	64	18	48	72	35	24	37	29	65	24	41	31	38	129	55	14	150.16	156.8	184.94	123	47	216.48	259	34	159.56	199.45	155	68	42	76	68.4	945	710	15
NG_008695.1	539	117	331	77	63	61	36.82	5	386	606	847	720	444	18	8	11	51.98	60.8	74.76	583	502	10	0	611	788	1142	695	75.05	55.53	733	369.68	566	211	165
NG_008727.1	173	65	154	554	128	174	398	4	185	220	1054	1492	778	526	669	261	4787	5511	6346	36	16	0	54	23	164	2029	795	17	4	31	344	285.91	73	26.94
NG_008734.1	10	2	8	9543	1651	1069	7	7	45.83	46.54	6719	5658	4010	7185.83	2200.84	1386	8368	8499	5986	24	3476	26	0	8	4628	5236	5260	3313.01	4183	2682	2346	5557	1428	5450
NG_008735.2	72	5	9	14836.58	14264.65	14293.72	10562.25	2490	10950.67	14778.56	10643	11517.98	5691	3193.35	7791.9	11535.27	13390.93	17459.68	13480.01	106.81	10693.27	14106.97	4987	9082	331.29	502.4	245.41	54	37	275	4798.81	13794	2887	110.42
NG_008754.1	20	21	5	112	41	77	409	33	203	770	1557.39	1269.41	971.72	431.33	167.41	98	159	97	88	122	50	594	82	341.84	67	45	66	345	421	4	124	51	70	55.35
NG_008768.1	2691	1027	1664	1053	637	265	50	563	82	159	388.39	314.1	215.29	86	5	0	62	34	60	716.25	273	2261.67	467.1	67	2182.1	2706.86	2529.69	61	7	76	370	150	132	27
NG_008775.1	144	258	46	13084.28	4219.07	1046.51	352	97	6022.38	12342.48	7707.21	6762.76	4015.87	11241.4	1995.62	1200.09	18503.28	18587.36	16082.11	151.18	183.29	7579	641	8896.25	7647.46	9410.46	15746.95	6468	5584	209	1539	83.09	0	8
NG_008776.1	11	1	12	2187	1487	915	6	24	1321	2010	4909.03	4983.76	3043.51	7	3	0	331.13	249	263.64	2530	1880	979	1839	28	1904	2330	2337	1258	346	17	808.83	563	128	30
NG_008787.3	1096	1135	728	4188	1881	1524	3123	1469	1263	2244	4340	3571	2876	72.5	19.07	8	5190	4125	4748	2829	2482	3049	2206	2735.08	1524	2244	2250	170	40	7	15.86	1859	267	3939.59
NG_008788.1	3071	654	1532	1635.57	438	331	4498	2279	2009.74	4516.56	3967	3921	2386	776	268	112	3717.47	3891.14	3161.58	309	955	1014.04	277	2792	2938.85	3103.89	3769.59	11	3	25	28.14	1086.05	482.86	1
NG_008799.2	689	566	487	630	65	42	4608	78.91	2550	7585.16	11161.03	10855.36	6551.02	9777.12	1478.26	426.8	824	552	566	594	7650.51	241	4079	4395.53	709	585	798	4550	3080	6178	4432.81	5249	7701	69.8
NG_008801.2	530	169	383	258	191	153	438	13	467.7	1131.78	1070	1112.87	467	2010.47	2353.91	2405.41	616	602	558	20	359	6	45	133	21	62	73	53.4	35.63	1989	537.33	173	135	831
NG_008805.2	19	4	13	24	12	4	27	8	19	31	19	20	14	2	3	0	315.51	306.56	445.08	180	18	206.35	131	7	4	5	6	75	62	466.08	179.39	67	10	45
NG_008807.2	21	20	44	480.95	138	336.76	8.5	1	6	17	1	0	4	2	1	0	6	0	2	33	8	3	87	918.5	0	3	0	76.61	26.85	11	52	24	35	61
NG_008835.1	40	24	33	1320	621	394	362	137	37	53	4439.24	4184.78	1593.49	84.82	79.13	53.19	180	260	208	926.42	288	85.71	0	121	29	40	106	1	9	18	55	510	81	34
NG_008838.2	2214	838	1609	5842	990	3449	33	1804	6921	5927	3735	5121	3412	32	2	3	32	31	47	42	33	9348.25	13885	1133	34.41	15.88	11.9	45	4	71	33730.21	17	27	29
NG_008852.2	59	60	30	2537	970	510	770	10	41.64	11	24	18	13	11	21	21	2699	3107	2181	2522	3172.81	2509.44	140	580	1195	901	1290	5.92	1	70.58	49	178.72	20.23	4
NG_008854.2	296	58	388	66.15	75	69.43	5	95	15	0	41	29	13	639	508	239	890.39	810.6	1201.32	131	3171	369	118	13	14	15	3	1028.6	456	60	101	32	5	2
NG_008860.1	39	7	19	1147	322	567	49.47	20	730	1586	10	9	6	348	90	82	43	22	35	106	44.58	33	31	189	640.41	895.65	969	15	3	5	551.36	74	94	25
NG_008863.2	35	8	16	211	39	1	4840	3439.98	20	132	21354	15410	14174	10870	6976	4456	15428	14819	15996	7615	5396	9	0	11908.98	37951.83	41059.06	14186.01	2473	3842	3145	6	1823	3551	11
NG_008865.1	27	71	24	25.94	16	23.56	94.86	20	482	597	130.66	122	101	19	1	6	31	22	15	342.77	10	16	13	116.81	24	39	44	20	23	125	54	86	35	28
NG_008867.1	2872.1	642.94	1253.45	4229	2303	776	143.7	67	2683.51	2861.76	2884	2320	1482	992.11	1234.71	1131.81	640	786	367	251	742	2612.47	419.12	1892.95	1363.38	1443.44	1578.88	8	1	9	125	0	3	10
NG_008868.1	126	54	72	92	16	15	140	38	643	1094	1764	1716	895	1499.05	1138	700.15	2946	2716	4940	1762	2229	2067	298	1053	902	1115	1897	145.69	0	950	52	79	0	59
NG_008873.1	11	7	14	0	3	9	13	0	19	51	108.74	183.22	86.54	64.28	28.43	36.16	201.69	207.05	137.68	8	17	40	9	7	4	11	20	9	0	6.68	277	6	1	4.23
NG_008875.1	2264.56	700	1310	634	74.85	9	114	1362.86	2128.71	2905.99	4200	3458	2965	639.75	71.7	17.75	162	176	145	1267	412	2088	717	2958	970.72	1445.93	2719.25	31	2	76	1267.32	76	37	1382
NG_008878.1	661	200	347	444	223	179	437.86	12	296.12	339.54	20	21	27	606	80	77	1532.33	1380.3	1134.44	480.09	250	245	326	14	649	1108	1075	4	1	280	45	31	19	290
NG_008881.1	1573	605	1300	1221	503	620	6	6	869	1412	83	89	60	17	10	3	13	7	7	4	485	28	321	269.95	11	5	6	968	312	142	61	110	19	2
NG_008882.1	12	4	11	40	6.54	0	535	13	96.02	92.97	11	14	11	26	7	12	978.67	827.3	608.37	670	37	59	0	15	2	6	7	5	2	17	147	9.62	48	90
NG_008885.1	3969.72	1684.9	3375.93	4236.89	1664.05	1470.74	4246.87	1539.59	2954.36	3308.12	3745.01	3822.46	2319.41	1316	1004.85	537	5554.25	4725.96	4114.82	3685.17	2908	2457.43	1804	2929.93	4217.06	5579.44	6558.24	483.16	283	3010	221.03	35.69	39.05	2313.45
NG_008886.1	2	10	6	1202	257	110.46	5	62.14	69	118.97	45	47	35	969	222	104	76	46	46	72	16	38	7.5	8	1	3	14	32	18	106	92	102	114	9
NG_008893.2	217.45	47.04	62.8	216	16	28	787.42	23	1630.7	1908.13	1546.37	1125.07	928.35	1465.89	516.12	402	8239.84	5757	5419.91	40	392	59	571	1132.86	1361.01	1438.11	1238.41	21	12	38	145	27	135	215.03
NG_008899.1	299	410	106	271	32	57	140	27	27.46	7.11	99	53	37	132	6	7	134	209	288	152	154	29	31	231	177	82	175	25	1	4	90	7	38	1.92
NG_008916.1	47	3	13	1001.69	1590.42	1545.16	143	75	2677	4609	1385	1447	658	2025	4071	5698	30	162	85	1828.98	53	31	3	23	1944.08	1778.11	1489.57	19	11	10	13	1666	764	6
NG_008922.1	862.13	255.74	419.67	2339	3963	4917	882	1352	744.78	1147	831	561	310	640	1157	1639	1989	2522	1744	46	909	1587	1936	22	930	729	667	20.87	51.57	950	4.19	187	205	768
NG_008923.1	947	234	552.26	454.84	265	275	598.37	173	127	111	67	67	61	58	18.01	50	515	421	278	59	84	1327	606	66	73	84	98	149.1	171	1008	723	562	263	342
NG_008925.2	322	131	162	622	201	139	566	46	1553	2261	1095	896	745	1208.51	239.26	107.2	1526	952	867	378	182.89	108	0	892	528	811	1169	115	34.9	227	8	3	7	28
NG_008926.1	21.19	27	10	66	4	4	75	15	578.73	762.8	697	722	469	482.13	188.05	109.84	245	212	184	179	160	264	36	434	373	393	468	16	7	211	21	205.93	45	202
NG_008931.1	132	56	72	241.14	55.53	47.14	1288.56	68	103	64	19	15	21	71	13	12	4976	4170	4555	46	3333	1285	265	11	28	35	33	1731	1036	52	56	22	7	27
NG_008935.1	22	9	1	0	11	36	105	15	71	36	19	20	16	25	34	101	37	49	36	16	418.95	24.42	424.52	758.62	17	8	16	11.24	1	44	56	5	24	3
NG_008951.1	508.28	123.93	285.23	736	192	89	55	12	60	8	1216	1104	773	1034	104	34	762.92	612.51	568.47	71	11	6	20	852	627	864	1221	36.69	16.4	29	361	72	78	1169
NG_008959.1	44.31	101.62	26	925	73	49	2184	195	6.74	17.16	764.67	707.47	453.62	40	2	0	1425	1654	957	59	475.69	241.77	20	19	17.86	9.67	87.16	420	219	411.41	100.16	8	9	19.63
NG_008960.1	286	52	199	827	130	103	94	767	841	2172	1697	1151	1070	1269.48	323.62	109.95	195	176	146	100	56	2574.28	571	2070	3074.21	2965.09	2361.38	4	5	30	34.44	305.85	209.48	869
NG_008966.1	41851.02	7999	28171.87	31893.83	47433.5	31086.83	16898	32	25692.37	20783.29	32895.75	31575.93	17194.62	52	58	88	25063	35541	26392	5723	552.86	8	0	29.85	77	80	37	3745	1078	42450	1	29	0	56
NG_008968.1	429	162	272	623.99	195.08	196.33	9	228.36	35	89	25.14	28.21	25.42	20	4	2	172	190	161	44	25.21	9	573	719	724	881	816	59	14	8	48.9	486	121	55
NG_008972.1	181	17.22	33.1	154	48	26	93	26	88	64	2982	2729	1773	1324	584.18	455.99	1827.3	1528	1391	43	103	897	1515	310	897	897	1023	1951.18	1397.2	7	4	785	428	10
NG_008978.1	23	12	22	447	467	776	31	7	299.89	187.72	22	14	14	393	456	340	41	26	27	32	11	2	28	20	27	9	12	8	2	34	16	21	58	3
NG_008980.1	696	277	567	656	274	419	88.23	221	276	389	27	24	16	514	234	108	248	236	179	163	13	11	20	379	465	417	287	290	308	37	231	45	61	0
NG_008982.1	94	36	77	1431.32	446.25	201	811	122	915	1623	1949.34	1763.29	1062.31	1863.44	996.42	601.49	2927	3095	2040.02	1252	95	2735	312	163	842	924	1356	102	95	6	72.92	3	2	232
NG_008991.2	170	47	87	267	133	85	512	6	116.96	321.51	782	733	599	685	190	64	1692	1367.8	1208.96	375	33	144	169	480	327	674	600	8	1	24	34	637.12	140.22	2
NG_008992.2	21	2	9	513	456	310	50	6	30	10	17	6	9	7	6	2	39	24	11	56	1230	1356	226	6	6	8	8	0	0	2	1.33	14	11	705
NG_008994.1	962	273	817	1139	621	526	461.36	273.34	460	966	1179	899	839	1688	494	277	744	572	714	159	396	582	1097	1255	1046	1817	1747	745	369	1199	165	483	133	1450
NG_009000.1	11	2	4	18	14	31	44	19	10	62	216.6	157.84	178.07	173.64	183.94	111.53	4	6	3	6.48	27	28	94	34	21	27	31	2	1	13	113	27	54	0
NG_009005.1	357	90	280	383	405	297.57	56	40	166	126	1528.38	1384.2	851.05	168	118	95	536.65	692.96	467.87	121.21	783.19	1155	468	1033	1434	1343	1584	3	3	11	595	461	114	12
NG_009006.2	8861	2678	6584	21064.91	2602.96	704.07	15321	1998	8732.36	23064	26095	30103	17921.08	20633.81	4899.91	1171.97	11259.63	10929.71	11082.85	8623.03	32026.52	10033	4693	10299.37	12039.81	27792.75	42521.04	11464.78	5855.05	1216	1118	14334	2054	18180.58
NG_009007.1	152	47	48	120	19	0	193	75.39	133.16	124.47	457	502	266	87	44	74	77.88	113.15	70.14	155	42	30	17	50	57	77	78	22	14	63.14	93.74	93	131	29
NG_009009.1	22	52	4	88	5	6	24	16	1	43	1513	1398	909	45	3	0	5	73	74	892	525	34.75	19	16	24	28	60	69.97	44.29	13	4	56	31	18
NG_009018.1	1219.32	657.81	665.7	483	610	645	531	450	259	426	428	308	285	110.09	34.03	7	21494.18	17580.79	17018.31	355	1931.33	7218.92	2908.02	531	49	57	36	37	4	20	243	23.98	16.82	10
NG_009028.1	1376.43	425.22	914.24	761	543	807	1011	21	694	956	1153	1131	702	2192	851	510	766.93	676.68	612.45	123	776	659	1134	781	35	45	63	26	10	1770	840.87	58	16	11
NG_009057.1	401.91	75.46	329.04	66	4	19	19	443	598	1712	574	447	251	64.27	68.41	72.44	426	534	452	795	120	1951	133	593	1172	1501	1484	5	4	22	7	13	21	5
NG_009062.1	445	401	410	24	18	257	61	26	39	93	104	72	70	3850	896	409	105.66	86.12	100.17	100	104	1	92	52	94	74	32	4	0	34	5	4909.96	1239.98	6
NG_009072.1	12	3	7	0	2	22	3	2	8	2	1	3	2	1	3	1	1	1	3	4	1160	6	13	3	4	2	1	38.77	31	34	0	0	0	0
NG_009080.1	2762	1085	2266	211	48	145	273	942	38	129	1243	1454.86	780	1646	2556	2119.15	158	243	251	160	145	153	17	914	842	1457	670	45	62	156	75	211	81	122
NG_009090.2	415.13	162.12	860	19113	19879	14739	8085	395.42	8187	9198	13582	9534	5937	351	217	262	13078	10182	8059	2141	92	1295	71	11772	234.76	204.05	330.06	22	48	16963	3797	150	66	8
NG_009099.1	3	3	4	7	2	6	7	1	2	16	33	40	32	17	8	0	21	19	8	15	7	4	6	13	6	6	10	85	67	27	7	29	11	10
NG_009109.1	35	5	20	1272	1222	771	83.58	1507	43	47	869.54	963.93	541.16	10	4	9	2685	2532	2528	1853.77	197	1067	710	20	138	235.98	183.47	3	0	50	192	4	0	24
NG_009111.1	40	81	10.01	17.69	14	20	180	10.5	36	3	19	40	27	18	1.5	0	1450.4	1526.15	1207.13	76	255	0	61	264	3	8	16	801	718	46.85	71	543	359	556.86
NG_009114.1	780	41	820	100	22	61	52	1538	3315	4205.72	2854	2721	1471	79.77	180.29	258.98	3278.19	3417.59	3420	150	2904	438	221	3817	4516	5580	2787	1	1	3	147	2308.67	1024.52	5104
NG_009118.1	59	13	46	2374	548	136	26	14	26277.97	37631.19	30	26	21	8625	14444	15402	53	90	52	93	164	53.56	2	37	35	27	46	44	2	22	115	8710	2150	4
NG_009159.1	289.83	246.05	120.85	279	144	194	10	4	17	4	233	274	143	5	0	0	485	547	628	11	7	15	26	400.47	17	14	5	5	4	12	163	107	17	3.01
NG_009160.1	47	56	0	162.84	12.35	0	58	53	96	32	15636	13236	7862	90.43	23.41	9.06	7217.69	7463	7306.54	410	141	5	87	9058	5385	7161	5818	39	34	19701	5954	7819.79	3045.86	28
NG_009190.1	81	70	29	214	30	23	33	15	59	246	28	23	29	242.46	90.21	39	23	21	23	75	24	4	0	48	230	371.9	424.84	3	0	92	5	0	0	5
NG_009192.1	4488	1252	4061	12	8	8	2730.49	8	2131.64	4606.15	3795	3425	2195	3097	1363	1207	19	17	8	1017	37	3257	1885	27	4023	4468	3185	6683	5230	6176	18	2752.1	967.72	3649
NG_009194.1	308	120	401	47	173	221	170.53	763	372	332	489	409	213	499.21	1435.01	1456.19	813	866	618	252.24	20	1394.11	1417	367	58	47	58.61	29	38	51	16	227	146	1
NG_009201.1	7356.68	2388.56	5668.9	7118	2367.4	1760.26	7165.68	24	3889.01	5153.42	220	514	286	5294.55	2068.21	870.86	6108.49	5677.13	5849.69	3836	5405.14	1029.57	123.09	5471.63	208	372	603	69.44	44.15	3470.56	774	31	128	26
NG_009205.2	1672.62	530	1325.5	1441	2018	1931	952	409	924.63	1481.87	1515.06	1284.94	703.45	1613.06	3084.27	3322.43	1720.94	1880.5	1382.61	617	563	2219.12	2048	1324	1763	1778	1483	2174	1165	3582	74	921	250	11
NG_009218.1	8	2	0	0	2	2	3	6	0	0	3	0	1	0	1	0	9	15	28	2	0	4	3	0	0	72	1	0	0	1	0	1	0	2
NG_009222.1	192.45	57.75	54.71	280.19	75.17	9.61	243.2	126	1482	1989	773	594	394	492	487	493	243	143.97	117.02	101	11	715	686	501	70	74	94	2529	1173	92	42	1572	313	36.48
NG_009224.2	3110	1567	1583	2546.7	746	85.34	403	1669.03	2030	3640	2139	2047	1700	1058	191	174	8185.74	5384.36	5382.4	2085	1106	155	3020	2264	756	951	1951	603	275	1254	744	3166	773	5534.32
NG_009231.1	83	82	15	492	758	566	57.33	18	110	96	1377	1315	735	1478	3459	3261	2069	2370	1877	65	29	1560	330	717	494	483	409	593	328	22	38	1359	513	15
NG_009233.1	5169	2090	3633	12934	4303	3114	30	4800	3417	2498	1823.33	1625.5	1294.47	555	414	275	29	27	29	68	87	3323	2028	2332	2450	2052	1873	1729	879	29.34	53	19.85	25	6
NG_009234.1	364	46	182.98	788.26	185	96	151	51	1059	2008.95	1033	1255	634	1298.47	1056.85	676.67	79.27	67.32	60.75	89	59	2822	190	19	11	22	26	12	4	24	202	92	89	30.4
NG_009238.3	492	213	169	796	327	42	701	152	242	283	2938.94	2059.28	1330.74	905	719	767	814	750	423.22	440	95.88	1784.99	44	1344	612.05	643.15	1078.54	31	17	49	144	260	52	138
NG_009239.1	53	96	18	33	14	71	13	6	168	15	31	20	14	45	3	1	1187	1181	1113	14	101	18	320	28	63	76	187	59	19	537.16	33	46	6	1
NG_009240.1	318.1	94.63	106.84	43	75	131	66	805	118	2	14	15	11	25	9	8	16	12.43	12	659	246	89	66	25	15	18	31	74	42	219.86	272	1001	208	95
NG_009241.1	3509.22	2501.04	2677.52	1242.68	190.63	479.29	14	32	8	35	2080.72	2035.27	1182.46	1985	422	281	1971.29	2009.33	1799.08	45	1729.62	2420	1137	2193	1768	1613	1690	14	5	20	7841.31	2491	6571	15
NG_009242.1	13801.06	3150.24	7220.23	8881.09	6115.7	1825.62	679	2024	2384.68	10455.41	12034	11950	5321	9208	5198	7659	12698.25	14513.9	11710.37	3074.22	6939.91	211	686	489	17811	21080	23644	2596	4014	9572	4954	7139.65	4678.95	31847.04
NG_009243.2	41	53	17	103	42.52	19	4	5	8	4	3	10	15	58	8	4	405	235	226	83.13	259	112	20	41	976.53	897.49	1637.39	8	0.01	19	142	200	178	31
NG_009244.1	1659.43	675.29	1222.88	42.88	23.21	9.01	38.3	20	49.99	52.44	49	90	22	31	117	165	155	187	130	306	70	62	0	13	13	32	9	26	33	246	8	16	18	1
NG_009245.1	45	31	47	39	9	58	406	59	556	401	29.78	2.21	0	32	11	2	14	13	9	189.84	39	146	648	511.45	39.75	55.08	119.14	97.61	156.07	100	55	17	0	1
NG_009248.1	5397	1536	4899	189.74	108	94.16	3382	1805	3125	3379	2942	2389	1522	4060	3969.72	3734.93	252.83	183.2	150.52	117	29	1580	661	4140	135.18	240	179.93	5835	6633	5090	156	318	153	5268
NG_009263.1	4353	1095	3405.96	4457	5152	4035	2590.52	9	655	553	5407	4848	2660	3737.91	5666	6764	843	1608	1222	160.31	277	1973	2241	3097	3419	3229	3100	7080	17095	440	2	265	1699	3638.9
NG_009269.1	1723	471	1037	922	524	151	1852.4	50.68	1099	2551	2813	2877	1499	2387	1752	1171	2236	2800	2526	1025.68	306	14	70	1417	1527	2412	2908	89.97	0	1312	700	2187	538.76	231.5
NG_009274.1	669.18	150.77	457.43	1188	450	155	1679.17	48	361	1515	1949	1638	1334	1278	592	647	26	21	18	48	27	106	21	1025	689.84	1078.79	918.85	80	22	47	139.99	10	11	2928
NG_009275.1	11	42	6	5	44	122	13	8	41	3	8	4	14	43	10	1	209	151.29	134.86	2486.85	265	1	335	19	6	12	12	2467	1023	2150.83	284	9	8	4
NG_009289.1	444	289	137	20	21	97	11	3	61	120	207.46	214	140.32	37	21	14	83	59	56	29	20.15	20	0	42	120.78	288.49	296.02	17	2	4	167	224	125	1
NG_009290.1	3851	629.01	3810	3914	1611	1570	3842	75.45	2629.98	6783	5978	6343	4392	187	148	122	406	329	338	2474	4208	11	313	4276	5495	8809	6697	9523	3479	132	356	5484	2696	75.85
NG_009296.1	1444	494	1074	2510.97	1111.95	516	1749.48	38	582.31	1889	1031.51	1180.99	750.03	1123	304	235	240.81	147.68	189.89	24	251	806	223	1073.75	724.6	1031.8	1194.62	1701	1162	231.7	178	1021.77	302.23	1389.03
NG_009298.1	1295	474	826	7779.07	4388.57	2333	608	269	2345	4569.07	12	24	20	5381.48	2574.5	1776.91	5335	6161	6311	4439	127	3110	1858	36	65	34.13	47	8	3	6	15	15	7	15
NG_009305.1	1295	386	758	2504	4457	4293	1144	13	1268	1489	4411	3610	2028	4300	7657	9983	15	28	11	568.55	12	61	71	19	5279.57	5104.91	3813.13	6	9	50	15	5	6	2161
NG_009306.1	330	86	234	4	12	34	27.91	7	143	191.4	11	10	9	12	0	0	27	31	28	13	20	1	67.92	50	109	14	67	2863.33	1620.21	8	22	75	91	11
NG_009309.1	613.82	497.32	388.34	735.56	360	516.2	289	254.48	1341	684	1328	1442	805	1419.89	2659	2350.18	2394.47	2617.84	2179.06	28	172.86	9	7	390.47	2024	1828	1367	8	2	12	9	280	132	0
NG_009358.2	210	306	160	93	32	105	2038.78	45	153	21	25	15	39	1841.61	302.95	132.58	689.12	478.54	470.4	58	72	8	136	700	36	42	54	54	11	139	364	0	62	8
NG_009361.1	285	147	230	546	142	226	239	39	12	6	210	174	116	172	78	48	216	167	210	134.64	266	170	98	196	286	268	408	556	454	334	156	384	162	381
NG_009363.1	132.1	28.68	90.94	1855	1592	2264	52	77	36	22	1182	1084	885	1421	476	411	112.28	71.09	72.03	45	97	350	22	31	242	1085	970	18	23	7	65	43	3	6
NG_009365.1	1630	470	1112	1829	1852	1732	132	269.64	71	72	345.49	434.01	191.38	726.88	552.02	741.12	71	87	76	125	631	85	1	162	8	6	23	7	3	10	0	97	48	13
NG_009366.1	399	185	244	2006	1073	1461	1322	44	1954	1859	2643	2295	1564	2681	888	561	2562	2062	1940	115.11	1107	1448	2129	81	1513	1411	1426	1940	831	5	29	164	119	6
NG_009367.1	9	3	0	1	30	37	4	8	1	0	2	0	1	0	0	1	0	0	18	0	0	0	3	0	1	46.13	0	28	1	4	359	3	8	4
NG_009370.1	34	35	25	41	50	10	9	13	17	176	0	2	12	44	10	1	2	6	6	57	273.71	70	51	13	95.01	68.43	109.15	10	2	16	158.2	8	36	29
NG_009377.2	282	44	375	495	89	76	11652.58	4770	1070	2511	5622.23	5243.81	4048.05	664	140	26	1472.64	1230.1	1322.34	2929.58	345.53	721	56	5753	4466.7	6548.72	6769.44	625	208	831	1898	343	249	1236
NG_009378.1	77	44	20	9882.91	6852.97	4166	2323	37	4210.77	8386.21	102	95	61	63	67	28	6515.19	7548.63	5626.12	4011	72	3201.05	603	121	55	82	162	5	0	0	50.37	3869	869	7
NG_009388.1	2142	642	1275	2577	1023	836	1654	77	749	1875	2235	2258	1471	12	3	0	4086	3040	3156	176	125.68	12	0	1328	56.58	52.45	19.26	128	131	105	18	8	4	65
NG_009416.2	6	9	2	741.74	425.52	200.89	1764	6	2694.11	3611.92	437	464	348	48	52	49.61	1461.68	1112	850.85	77	934	88	21	342	4	9	16	4	0	23	533	11	11	2
NG_009445.1	16	12	13	45	22	10	28	25	6	10	22	6	5	50	22	31	81.49	97	43	31	361.32	183.09	39.29	63	10	2	21	85	40	220.87	158	2	17.23	23
NG_009492.1	78	80	21	1267.86	287.83	275.42	15	22	134	51	16.73	7.56	5.24	492	1146	915	118	103	50	83	14	17	92	205	9	29	43	81	15	57.39	453	666	133.94	44
NG_009552.1	2149.29	479.96	980.17	1394.23	638.85	170	2907	1484	2215	2016	3418	3518	1932	4339	5183	6593	4040.56	3893.82	2530.99	680.51	164.06	4485	639	66	4501.64	4407.2	4826.73	15	2	8	271	14	1	7
NG_009553.1	564.53	367.28	332.85	55	0	0	15	9	493.59	471.85	429.64	581.34	403.68	490.58	116	60	361	271.66	178.1	152	35	94	0	430.99	624.48	563.84	946.87	1	0	61.44	484	353	492	302
NG_009763.2	592	232	453	2388	1487	518	4141	121	3616	5246	4513.24	3579.01	2210.6	5951.48	3485.97	3076.02	271	141	57	1128	214	720.88	160.6	1873	3525.67	3520.24	5413.8	10	13	11	57	5	2	2
NG_009775.1	91	122	41	23.73	0	159	3	3	44	3	128.84	156.7	102.23	97	6	2	7	1	0	16	4	5	164	11	114.6	118.99	179.45	74	30	3	12	7	15	3
NG_009796.1	593.2	148.24	329.47	886	290	360	896	247.39	533.02	715.97	1314	1194	992	1475	226	132	798.18	477.68	404.61	109	98.23	848.05	660.23	1015.17	599	761	1054	13	0	22	13	9	23	14
NG_009799.1	10235	1793	6198	14062.97	5954	1722	7029	60	3770.12	8948.05	11090	11466	7038	7325.75	3693.5	2779	18458.36	18159.39	17714.17	7730	9403.89	9103	2001	2465.52	9065	12668	10777	9	5	3	199.01	92	33	92
